weekid,song,performer,week_position,Last Week,peak_position,weeks_on_chart,Image URL,month,week_of_year,is_december
1962-12-19,Rockin' Around The Christmas Tree,Brenda Lee,64,89,14,10,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,51,True
1962-12-19,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",67,75,67,4,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,51,True
1962-12-19,White Christmas,The Drifters Featuring Clyde Mcphatter And Bill Pinkney,88,88,2,1,https://charts-static.billboard.com/img/2013/12/the-drifters-p4v-white-christmas-d9j-180x180.jpg,12,51,True
1962-12-19,Jingle Bell Rock,Bobby Rydell/Chubby Checker,92,97,21,7,https://charts-static.billboard.com/img/1961/12/bobby-rydell-1pg-180x180.jpg,12,51,True
1962-12-26,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",31,40,31,4,#,12,52,True
1962-12-26,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,38,46,12,13,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,12,52,True
1962-12-26,The Chipmunk Song (Christmas Don'T Be Late),David Seville And The Chipmunks,40,47,39,15,https://charts-static.billboard.com/img/1959/12/david-seville-d6d-106x106.jpg,12,52,True
1962-12-26,Santa Claus Is Watching You,Ray Stevens,45,55,45,3,https://charts-static.billboard.com/img/1962/12/ray-stevens-kgr-180x180.jpg,12,52,True
1962-12-26,Jingle Bell Rock,Bobby Helms,56,59,35,15,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,12,52,True
1962-12-26,Rockin' Around The Christmas Tree,Brenda Lee,59,64,14,11,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,12,52,True
1962-12-26,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",65,67,65,5,https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,12,52,True
1963-01-02,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",30,31,30,5,#,1,1,False
1963-01-09,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",39,30,30,6,#,1,2,False
